LRPAP1 Low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1,TALDO Transaldolase,"MPO from  Human myeloperoxidase gene, exons 1-4./ntype=DNA /annot=exon",Low-Mr GTP-binding protein (RAB31) mRNA,LPAP gene,leukemia_type
161,56,44,303,261,ALL
588,-29,146,1358,101,ALL
207,-109,110,254,309,ALL
82,-62,86,-304,288,ALL
337,938,104,-86,395,ALL
200,88,10,1168,58,ALL
55,-78,105,-233,84,ALL
121,-257,104,-247,251,ALL
127,-35,103,336,155,ALL
272,392,64,498,167,ALL
37,16,93,-376,140,ALL
306,1452,33,107,287,ALL
44,22,61,-97,152,ALL
328,93,986,820,145,ALL
128,333,46,76,81,ALL
133,3562,30,36,202,ALL
71,1441,3107,375,286,ALL
-7,184,85,22,141,ALL
69,478,2,-180,155,ALL
-9,379,78,205,180,ALL
126,-64,41,-124,139,ALL
43,51,-37,-102,124,ALL
77,-36,53,425,108,ALL
177,59,64,-205,102,ALL
17,135,83,-229,203,ALL
78,196,70,66,128,ALL
137,-93,114,34,84,ALL
62,490,91,-65,168,ALL
84,-49,70,68,244,ALL
226,18,45,-125,73,ALL
189,989,24,250,154,ALL
502,1213,165,-96,88,ALL
51,-60,-87,502,128,ALL
86,-146,14,78,117,ALL
7,-30,-15,49,37,ALL
105,706,63,107,287,ALL
43,199,70,-177,222,ALL
88,1293,92,394,390,ALL
343,-113,38,2090,247,ALL
204,87,1,163,74,ALL
178,777,34,-166,252,ALL
117,917,43,239,111,ALL
101,-139,-2,-39,130,ALL
26,311,94,453,230,ALL
262,429,208,1073,316,AML
1567,2204,1049,6962,555,AML
9600,353,1304,14555,1130,AML
894,11205,2087,7238,1338,AML
347,209,167,12339,774,AML
1013,8072,1689,3654,443,AML
728,6960,2139,1537,1450,AML
853,15791,1185,1481,781,AML
7109,2005,2046,17863,970,AML
3844,1003,753,13296,408,AML
1507,5702,577,1661,275,AML
3871,9138,1582,11686,928,AML
995,10171,1269,2745,593,AML
9433,747,892,17846,1533,AML
850,9006,1233,21404,769,AML
2241,22222,643,10737,629,AML
187,2269,27,359,159,AML
169,296,167,553,252,AML
2010,9986,1267,3168,827,AML
1483,14230,1480,14193,646,AML
406,2681,38,180,122,AML
4177,27285,1568,2460,336,AML
140,28390,3166,123,526,AML
6913,2606,1121,24178,1605,AML
7807,5895,2767,19680,1883,AML
658,3917,1415,3293,2204,AML
1347,17371,1550,12735,560,AML
106,228,163,2103,341,AML
